date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Relative humidity (%),Power (MW)
2019/1/1 0:00,0,0,0,-11.7,930.5,39.1,0
2019/1/1 0:15,0,0,0,-11.8,930.5,39.3,0
2019/1/1 0:30,0,0,0,-11.4,930.5,39,0
2019/1/1 0:45,0,0,0,-11.5,930.5,38,0
2019/1/1 1:00,0,0,0,-11.5,930.4,38.9,0
2019/1/1 1:15,0,0,0,-11.8,930.1,39.6,0
2019/1/1 1:30,0,0,0,-11.4,930,39.4,0
2019/1/1 1:45,0,0,0,-10.7,930,37.5,0
2019/1/1 2:00,0,1,0,-10.9,929.8,37.6,0
2019/1/1 2:15,0,0,0,-10.9,929.8,38.2,0
2019/1/1 2:30,0,1,0,-11.1,929.6,38.7,0
2019/1/1 2:45,0,0,0,-10.1,929.5,38.9,0
2019/1/1 3:00,0,1,0,-10.5,929.5,38.9,0
2019/1/1 3:15,0,0,0,-11.1,929.7,40.2,0
2019/1/1 3:30,0,1,0,-11.3,929.5,40.5,0
2019/1/1 3:45,0,0,0,-11,929.6,40.7,0
2019/1/1 4:00,0,1,0,-11.6,929.9,41.4,0
2019/1/1 4:15,0,0,0,-11.3,929.7,42,0
2019/1/1 4:30,0,1,0,-11.3,929.6,42.4,0
2019/1/1 4:45,0,0,0,-11.4,929.5,42.4,0
2019/1/1 5:00,0,1,0,-11.7,929.5,42.8,0
2019/1/1 5:15,0,0,0,-11.1,929.3,43.7,0
2019/1/1 5:30,0,0,0,-10.7,929.3,42.6,0
2019/1/1 5:45,0,1,0,-11.4,929.3,43.4,0
2019/1/1 6:00,0,0,0,-11.5,929.1,44.6,0
2019/1/1 6:15,0,1,0,-11.7,929,45.1,0
2019/1/1 6:30,0,0,0,-11.6,928.8,45,0
2019/1/1 6:45,0,1,0,-12.2,928.7,45.8,0
2019/1/1 7:00,0,0,0,-12.7,928.7,47.4,0
2019/1/1 7:15,0,0,0,-12.7,928.8,47.1,0
2019/1/1 7:30,0,0,0,-12.6,929,46.9,0
2019/1/1 7:45,0,1,0,-13,929,48.1,0
2019/1/1 8:00,0,0,0,-12.7,928.9,48.3,0
2019/1/1 8:15,0,0,0,-12.7,929,46.9,0
2019/1/1 8:30,0,0,0,-12.5,929.1,47.1,0
2019/1/1 8:45,0,0,0,-12.5,929.2,46.9,0
2019/1/1 9:00,2,0,1,-12.7,929.3,47.1,0
2019/1/1 9:15,14,1,7,-12.5,929.3,46.8,0.24
2019/1/1 9:30,63,12,20,-12.7,929.6,46.9,0.86
2019/1/1 9:45,92,11,34,-13.3,929.5,48.2,2.38
2019/1/1 10:00,237,36,64,-12.9,929.6,48.4,4.8
2019/1/1 10:15,279,35,91,-12.9,929.5,47.4,8.13
2019/1/1 10:30,444,54,137,-12.5,929.1,47,15.16
2019/1/1 10:45,435,49,135,-12,928.9,45.5,16.66
2019/1/1 11:00,415,29,153,-11.6,928.7,44.8,19.28
2019/1/1 11:15,486,32,187,-10.6,928.3,42.8,21.89
2019/1/1 11:30,598,37,237,-10,928,41,25.87
2019/1/1 11:45,661,37,270,-8.6,927.8,37.4,28.31
2019/1/1 12:00,735,36,318,-8.4,927.5,35.7,30.67
2019/1/1 12:15,743,35,322,-7.6,927.2,33.8,31.13
2019/1/1 12:30,786,32,355,-7.8,926.7,34.1,33.83
2019/1/1 12:45,793,27,366,-7.7,926.4,34,34.64
2019/1/1 13:00,776,22,364,-7.3,926.3,33.8,34.8
2019/1/1 13:15,823,20,394,-7.1,926.1,32.5,36.77
2019/1/1 13:30,827,20,411,-7.1,925.9,31.8,35.82
2019/1/1 13:45,818,18,428,-6.7,925.5,30.9,34.67
2019/1/1 14:00,746,17,363,-6.8,925.4,31.7,33.53
2019/1/1 14:15,714,15,342,-6.8,925.2,30.4,32
